"id","textDisplay","authorDisplayName","publishedAt"
"Ugx7IBpryXP8PlY3rY94AaABAg","Thanks a lot","@ximuoidethuong","2023-11-30T08:10:37Z"
"UgwN_k4u1_BYYEd9Vud4AaABAg","Thanks","@EvertantonioDavila-pw9ho","2023-11-29T17:22:52Z"
"Ugwm4NxIktVjynRat6B4AaABAg","Hello from Uzbekistan","@Gamerx_444","2023-11-29T09:47:08Z"
"Ugzf0Kiew_XMULCDvWN4AaABAg","Hello, Ididn&#39;t know this channel, very well to enrich myself in English. <br>Thank you.<br>Have good day","@geoffreybernard4721","2023-11-28T07:42:36Z"
"UgyCTPSuymOryDCxatV4AaABAg","Hello from casablanca","@samirahaddoumi9758","2023-11-27T14:08:30Z"
"UgyBE53dsWFptpUJ4WN4AaABAg","follow your dreams, life regret, made money, reveal answer, share everything, share equally, share resources, struggle communism level, outlandish, sweetheart, visit countless times, conquer the world, humble person, meet people, arrogant, grain of sand, rare example of, carriage, recap the words, strange, proud,","@monolove79","2023-11-26T11:01:06Z"
"UgyL9ArVirvhF7cpKvJ4AaABAg","Yeap,it is wonderful❤","@uchqunhusanov1632","2023-11-26T06:09:51Z"
"UgzAG96OoEQNA4sTJEZ4AaABAg","I am from Palestine 🇵🇸","@user-yb9rf9xm5b","2023-11-25T17:01:47Z"
"UgzwGGaX80ZEWR7l0z14AaABAg","I love the life ❤️","@user-wj4ht8uf3k","2023-11-24T05:06:38Z"
"UgzrBoie9_Gx4XMbLsN4AaABAg","Uzbek sila😂","@user-nu3cm8yg1y","2023-11-23T14:59:07Z"
"UgzPM_xJ4EQ7FfipTIt4AaABAg","Hi guys good Morning . I love the way you said don&#39;t change world first change yourself . This is so true . We can&#39;t change the world . But we can change ownself. :)","@havealongwaytogo_dh_","2023-11-22T02:49:50Z"
"UgzmCpJod8aDqXMC7X54AaABAg","I&#39;m from India 🇮🇳","@razaameer1523","2023-11-21T11:17:48Z"
"UgwOzohEi2hjSbIvezp4AaABAg","I always watch to this podcast ❤🎉❤","@xumoraxolmurodova5508","2023-11-20T16:42:56Z"
"Ugw9s6hIQtHmANJYp5l4AaABAg","Appreciate what an inspired content","@BBEVAEcucation","2023-11-17T08:36:27Z"
"UgwtFceChwSPTur_uJx4AaABAg","Good","@user-kr4yc2tp1s","2023-11-16T16:52:04Z"
"Ugz_SzfLADV8BmkNGDZ4AaABAg","Better than never, friends follow your dreams, ther is no time limit","@user-wg4np8bo6u","2023-11-15T17:57:49Z"
"UgwaDQAh8EaAR9Of4vp4AaABAg","Thanks for your emotions and making hard for our mind😊","@Rustam_Tursunov_offical","2023-11-15T05:14:10Z"
"UgzW5mEqSI_5GGk1VGx4AaABAg","Thankyou so much for this efforts.. Both are said well.. I wish, i will followed my dream. 🎉","@banu655","2023-11-14T15:04:42Z"
"UgwfF14U9c9IooyPK0V4AaABAg","This video is very very good! I have been learnt English 6months so this video is impove my listening and writing helps Thanks BBC group and theirs stuff🎉","@BaxtiyorBaxtiyorovv-jd5cr","2023-11-14T14:23:07Z"
"UgyyUc_nfa32gTyUhW54AaABAg","I am from Kurdistan nice to follow you...","@benginoso3171","2023-11-14T06:13:40Z"
"UgyRv0qZoztuvL0_o2t4AaABAg","Thanks for your video","@kilowafik3014","2023-11-13T21:04:47Z"
"UgzuJZahUJZVmbUGFWx4AaABAg","Uzbek сила","@moxiraruziboyeva2513","2023-11-13T13:31:14Z"
"Ugy9edJA1imkZwtbVfl4AaABAg","I am from UZB too","@user-ig8cy1zf6q","2023-11-13T10:53:08Z"
"UgyYaHw76WN0lDYlWwF4AaABAg","This lesson is really wonderful thank for you👍👍👍","@user-ff2xc1kr3c","2023-11-11T02:54:30Z"
